id_transaccion,fecha,cliente_id,tipo_transaccion,monto,moneda,estado,sucursal
1,2024-10-23,CLI065,TRANSFERENCIA,2652.31,,RECHAZADA,Colon
2,2024-03-24,  CLI005  ,TRANSFERENCIA,2153.49,USD,,Centro 
3,2024-01-04,  CLI043  , DEPOSITO ,1225.02,USD,APROBADA,Panama Viejo
4,2024-08-04,CLI067,retiro,-99.53,USD,,
5,2024-11-13,CLI078,TRANSFERENCIA,4224.53,PAN,,Panama Viejo
6,05/07/2024,CLI018,TRANFERENCIA,2292.91,,RECHAZADA,Centro 
7,23/07/2024,CLI079,TRANFERENCIA,$4611.22,,PENDIENTE,  Los Santos
8,2024-03-12,CLI051,TRANSFERENCIA,2333.04,USD,APROBADA,Panama Viejo
9,22/03/2024,CLI095,TRANFERENCIA,$2157.87,,,
10,2024-12-08,CLI076,TRANSFERENCIA,1079.2,,RECHAZADA,Panama Viejo
11,15/01/2024,CLI066,RETIRO,$1874.48,EUR,,Colon
12,2024-04-20,CLI091,TRANFERENCIA,2758.83,USD,,Centro 
13,2024-11-05,CLI061,TRANFERENCIA,732.67,,APROBADA,
14,07/03/2024,CLI048,TRANSFERENCIA,1887.59,USD,PENDIENTE,Colon
15,22/01/2024,CLI015,RETIRO,1241.2,,,Centro 
16,19/04/2024,CLI075, DEPOSITO ,1121.77,,DESCONOCIDO,Panama Viejo
17,2024-11-21,CLI093,DEPOSITO,4540.77,,,Centro 
18,2024-02-06,CLI081, DEPOSITO ,3391.67,EUR,PENDIENTE,Centro 
19,2024-03-02,  CLI061  ,retiro,3688.93,PAN,DESCONOCIDO,Centro 
20,2024-08-17,CLI084,RETIRO,2005.81,,,Colon
21,2024-03-04,CLI100,TRANSFERENCIA,830.28,USD,PENDIENTE,Centro 
22,2024-02-04,CLI030,retiro,3148.15,,RECHAZADA,Panama Viejo
23,23/03/2024,CLI075,DEPOSITO,1287.88,,RECHAZADA,  Los Santos
24,2024-05-07,CLI068,TRANFERENCIA,857.73,USD,APROBADA,  Los Santos
25,23/02/2024,CLI080,RETIRO,$257.66,USD,,  Los Santos
26,2024-09-01,CLI049,deposito,848.28,,APROBADA,
27,2024-07-05,  CLI088  ,DEPOSITO,$1353.28,,,  Los Santos
28,2024-11-28,CLI074,TRANFERENCIA,3608.25,EUR,RECHAZADA,Centro 
29,2024-04-22,CLI015,retiro,668.49,,,  Los Santos
30,23/01/2024,  CLI057  ,retiro,1643.76,,,
31,08/02/2024,CLI020,DEPOSITO,3977.26,,RECHAZADA,  Los Santos
32,2024-11-23,CLI027,retiro,2264.79,PAN,PENDIENTE,Centro 
33,2024-08-24,CLI100,TRANSFERENCIA,1584.27,,,
34,2024-05-14,CLI061,TRANSFERENCIA,4753.38,PAN,PENDIENTE,Centro 
35,2024-08-08,CLI095,deposito,$3880.51,USD,RECHAZADA,Panama Viejo
36,2024-12-12,CLI091,deposito,$2356.03,,,  Los Santos
37,2024-04-07,  CLI027  ,RETIRO,4191.85,PAN,APROBADA,
38,10/10/2024,CLI085,retiro,4124.09,EUR,RECHAZADA,Colon
39,2024-07-13,CLI049,retiro,$3843.05,PAN,PENDIENTE,Colon
40,05/02/2024,CLI023,TRANSFERENCIA,3833.25,,DESCONOCIDO,Panama Viejo
41,2024-07-08,CLI069,retiro,3661.86,PAN,,
42,12/04/2024,CLI046,retiro,$2309.56,EUR,RECHAZADA,Colon
43,2024-12-19,CLI093,RETIRO,2557.81,USD,DESCONOCIDO,Panama Viejo
44,2024-12-26,CLI089,retiro,2311.41,USD,,
45,2024-11-28,CLI062,DEPOSITO,1491.76,,APROBADA,Centro 
46,2024-03-22,  CLI032  , DEPOSITO ,3108.74,EUR,RECHAZADA,
47,28/06/2024,CLI039,DEPOSITO,$4687.73,PAN,PENDIENTE,  Los Santos
48,2024-11-01,CLI039, DEPOSITO ,1191.89,EUR,PENDIENTE,  Los Santos
49,2024-11-24,CLI091,DEPOSITO,913.49,EUR,APROBADA,Panama Viejo
50,2024-05-22,CLI091,DEPOSITO,4304.65,PAN,,
51,2024-12-25,CLI062,DEPOSITO,475.94,,,Colon
52,19/04/2024,CLI093,RETIRO,1555.02,PAN,APROBADA,Colon
53,08/05/2024,CLI016,RETIRO,1308.11,EUR,,
54,2024-08-27,CLI070,RETIRO,$3947.83,,DESCONOCIDO,Colon
55,2024-05-18,CLI051,deposito,$219.55,,DESCONOCIDO,Centro 
56,2024-01-08,CLI099,RETIRO,2323.88,,PENDIENTE,Centro 
57,15/05/2024,CLI038,retiro,1794.13,,RECHAZADA,Colon
58,2024-09-01,  CLI092  ,TRANSFERENCIA,$796.92,PAN,RECHAZADA,Centro 
59,2024-08-27,  CLI057  ,DEPOSITO,$3097.04,,DESCONOCIDO,Centro 
60,2024-05-22,CLI096,deposito,4984.56,,,  Los Santos
61,2024-11-25,CLI026,RETIRO,204.85,USD,PENDIENTE,Panama Viejo
62,2024-05-30,CLI035,TRANFERENCIA,3476.77,,,Centro 
63,2024-05-14,CLI090,TRANSFERENCIA,541.72,,,Panama Viejo
64,17/04/2024,CLI014,DEPOSITO,4906.55,,DESCONOCIDO,
65,03/12/2024,CLI076,retiro,3759.16,,,Panama Viejo
66,2024-01-30,CLI007,TRANFERENCIA,2137.47,,RECHAZADA,  Los Santos
67,2024-03-08,CLI068, DEPOSITO ,3415.17,,,Panama Viejo
68,2024-04-07,CLI030,retiro,587.13,,DESCONOCIDO,Panama Viejo
69,2024-01-04,  CLI053  ,RETIRO,2375.04,PAN,,Centro 
70,2024-03-05,CLI061,DEPOSITO,1403.04,EUR,PENDIENTE,
71,15/05/2024,  CLI099  ,deposito,867.86,PAN,APROBADA,Panama Viejo
72,07/02/2024,  CLI071  , DEPOSITO ,1673.09,,PENDIENTE,Colon
73,2024-04-25,CLI021,DEPOSITO,1304.15,PAN,,  Los Santos
74,2024-05-08,CLI061,RETIRO,4563.82,,APROBADA,Colon
75,2024-03-02,CLI026,RETIRO,251.27,USD,RECHAZADA,
76,10/06/2024,CLI037,TRANFERENCIA,1407.93,,APROBADA,
77,2024-09-06,CLI083,TRANSFERENCIA,1772.27,,RECHAZADA,
78,2024-04-19,  CLI099  ,deposito,$3193.75,PAN,RECHAZADA,  Los Santos
79,2024-09-29,  CLI074  ,DEPOSITO,846.22,,,
80,2024-04-21,CLI095,RETIRO,$4285.58,PAN,RECHAZADA,
81,2024-05-18,CLI005,DEPOSITO,1117.81,,,Colon
82,2024-01-17,CLI023,TRANSFERENCIA,3257.28,PAN,DESCONOCIDO,  Los Santos
83,2024-11-12,CLI023, DEPOSITO ,1876.2,USD,RECHAZADA,Centro 
84,2024-03-19,CLI005,TRANSFERENCIA,2437.5,,,Centro 
85,17/03/2024,CLI051, DEPOSITO ,3026.5,PAN,RECHAZADA,Panama Viejo
86,2024-02-10,CLI024,DEPOSITO,3168.61,PAN,RECHAZADA,
87,2024-10-19,CLI038, DEPOSITO ,$2620.77,,DESCONOCIDO,Centro 
88,2024-08-02,CLI002,DEPOSITO,$4177.61,,PENDIENTE,Centro 
89,2024-10-11,CLI078, DEPOSITO ,$4368.73,,APROBADA,Panama Viejo
90,05/01/2024,  CLI043  ,retiro,2375.39,,APROBADA,Colon
